City	State	price	title	url	Postingdate	Numimage	Description	Year	Makemodels	Conditions	Cylinders	Drive	Fuel	Odometer	paintcolor	Size	Titlestatus	Transmission	Vin
		1500	2oo7 acura tl	https://northmiss.craigslist.org/cto/d/2oo7-acura-tl/6487004166.html	"
                    2018-02-06  3:18pm
                "	4	"2007 acura tl, magna flow exhaust, 13% tint, new heads. 1,500$    "	2007	 acura tl	 good	 6 cylinders	 fwd	 gas	167000	 white	 compact	 clean	 automatic	0
Florence	 Al	4500	1991 Jeep Wrangler.	https://northmiss.craigslist.org/cto/d/1991-jeep-wrangler/6467474955.html	"
                    2018-01-21  9:18am
                "	5	"4cy rebuilt motor,10k miles on motor, new clutch, new brakes, exterior rhino lined, ,interior a little rough, all gauges work, runs and drives good, 4x4 works good,  no ac, and needs heater core replaced,/ hooked up, for asking price i will have heat fixed., text or call  show contact info
, open title as of right now.    "	1991	 jeep wrangler	 fair	 4 cylinders	 4wd	 gas	202000	 red	 mid-size	 clean	 manual	0
		14500	2017 Ford Fusion SE	https://northmiss.craigslist.org/cto/d/2017-ford-fusion-se/6483886647.html	"
                    2018-02-03  8:44pm
                "	11	"Super nice car, has the new Ford Car play. Has a radio screen. Ecoboost great gas saving car. Runs and rides great. Comes with the best warranty Ford can offer. It's 2k warranty. Runs and rides great. 50K miles. NO TRADES Call or text 662-544-sixtwo02. In mint condition. Price is firm    "	2017	 Ford Fusion	 excellent	 4 cylinders	 4wd	 gas	50000	 red	 mid-size	 clean	 automatic	0
Starkville		4000	98 GMC Sierra 4x4	https://northmiss.craigslist.org/cto/d/98-gmc-sierra-4x4/6487111297.html	"
                    2018-02-06  4:39pm
                "	11	"Good condition 98 GMC Sierra 1500 got the 5.7 engine runs great right over 100 thousand since rebuild transmission transfer case and rear end rebuilt less than 50 Thousand miles ago shifts perfect have paper work HOT heat good AC 4WD works as should has 33/13.50 SUPER SWAMPERS on 15"" bullet hole wheels 3/4 tread left brand new battery balljoints replaced not long ago sure I'm forgetting something some miner dints here and there needs a few basic parts donut gasket a barring in the steering column don't haft to sell jus seein what's out there open to trades Call or text  show contact info
"	1998	 Sierra	 good	 8 cylinders	 4wd	 gas	220000	 white	 mid-size	 clean	 automatic	0
Starkville		1000	98' FORD F150 XLT4X4 Emission Ready Extended cab	https://northmiss.craigslist.org/cto/d/98-ford-f150-xlt4x4-emission/6487043780.html	"
                    2018-02-06  3:47pm
                "		"98 FORD F150 XLT4X4 extended cab
V8 4.2 L transs automatic 4x4
148xxx miles 
Cloth seats 
All electric 
New tires
Emission ready
Clean title and hand
1000 obo 

For more information call me or text  show contact info
 Thanks    "	1998	 Ford F-150 XLT	 excellent	 8 cylinders	 4wd	 gas	220000	 white	 full-size	 clean	 automatic	0
Tupelo		850	35x12.50x20 stt pro	https://northmiss.craigslist.org/cto/d/35x1250x20-stt-pro/6487108633.html	"
                    2018-02-06  4:37pm
                "		Tires are like new. Great mud tires just want all terrain. No trades cash only and no bs or scams    	2014	 gmc 1500 sierra	 like new	 8 cylinders	 4wd	 gas	220000	 white	 full-size	 clean	 automatic	0
Columbus		4200	2000 Toyota Tundra	https://northmiss.craigslist.org/cto/d/2000-toyota-tundra/6487099865.html	"
                    2018-02-06  4:30pm
                "	10	"Clean, well kept 2000 Toyota Tundra. AM/FM radio with CD & cassette player.  Bed liner & tonneau cover.    "	2000	 toyota tundra	 good	 8 cylinders	 rwd	 gas	301000	 white	 full-size	 clean	 automatic	0
FULTON	MS	8450	"2002  GMC  NEW  SIERRA  Z-71  EXT  CAB  4 X 4/MILES 133,546"	https://northmiss.craigslist.org/ctd/d/2002-gmc-new-sierra-71-ext/6487099804.html	"
                    2018-02-06  4:30pm
                "	7	"2002  GMC  NEW  SIERRA  EXT  CAB  4 X 4 Z-71  SLE  FULLY LOADED/ALL POWER/CLOTH  INTERIOR/ALLOY  WHEELS/TOW PKG/ ONLY  133,546  MILES.GREAT  LOOKING  TRUCK PRICED TO  SELL $ 8450.00  CASH  OR  POSSIBLE  FINANCING  CALL 662-255-6692    "	2002	 GMC NEWSIERRA	 excellent	 8 cylinders	 4wd	 gas	133546	 green	 full-size	 clean	 automatic	0
FULTON	MS	6950	1998    JEEP  WRANGLER   SE  AUTOMATIC TRANSMISSION	https://northmiss.craigslist.org/ctd/d/1998-jeep-wrangler-se/6487098518.html	"
                    2018-02-06  4:29pm
                "	7	"1998  JEEP  WRANGLER  SE  4  CTL  ENGINE/AUTOMATIC  TRANS/A/C CL0OTH  TOP/GOOD  TIRES /. VERY  CLEAN  INSIDE  AND  OUT.  ONLY 169,202   MILES  RUNS  AND DRIVES  GREAT  PRICED TO  SELL  $  6950.00  CASH  OR  POSSIBLE  FINANCING  CALL 662-255-6692    "	1998	 JEEP WRANGLER SE	 excellent	 4 cylinders	 4wd	 gas	169202	 black	 full-size	 clean	 automatic	0
Shannon Ms		19800	Classic Antique 1983 El Camino	https://northmiss.craigslist.org/cto/d/classic-antique-1983-el-camino/6487090863.html	"
                    2018-02-06  4:23pm
                "	21	"This is an 83 el camino.  Complete take down to bare metal.  Everything is new!  The engine is a 5.7L Corvette Motor that has been Stroked out to a 383.  The engine Has been blue printed and Balanced.  Hypertotonic Pistons with forged rods, oversized valves. Hooker ceramic coated long tube headers.  Could go on for days about the engine .  To make it short  It""s 450hp EFI Bad Boy!  All new interior.
2011 Camero wheels with Pirelli Tires(20"").  4L60E Transmission.  Electronic Cruise Control.  Power windows.   I have over 1000 photos documenting the restoration.  It's a must See!  Show Ready!

Serious calls only    "	1983	 El Camino	 like new	 8 cylinders	 rwd	 gas	1200	 silver	 full-size	 clean	 automatic	0
		1594	Completely Maintained and Guaranteed 2004 Ford F-150	https://northmiss.craigslist.org/cto/d/completely-maintained-and/6486956875.html	"
                    2018-02-06  2:43pm
                "		"It has been an absolutely great car. Never been an accident and no smoking allowed.

Features:
Four-cylinder
AWD (All Wheel Drive) - so you can take it to the snow without chains
AM/FM/Aux/MP3 Stereo with 6 CD player
5 Passenger Seating
YAKIMA Roof Rack
Sliding Power Sun Roof
Power Driving Seat
Power Windows/Locks
LOTS of STORAGE and hidden compartments    "	2004	 Ford F-150 FX4	 like new	 8 cylinders	 rwd	 gas	1200	 silver	 full-size	 clean	 automatic	0
FULTON	MS	3250	2002  HONDA  ACCORD  4  DOOR/LX	https://northmiss.craigslist.org/ctd/d/2002-honda-accord-4-door-lx/6487093303.html	"
                    2018-02-06  4:25pm
                "	6	"2002  HONDA  ACCORD  LX  FULLY  LOADED/ALL POWER/4  CYL/AUTOMATIC  TRANS/CLOTH  INTERIOR/ALLOY  WHEELS/
. PRICED TO  SELL $  3250.00  CASH    CALL 662-255-6692    "	2002	 HONDA  ACCORD	 good	 4 cylinders	 fwd	 gas	238322	 red	 full-size	 clean	 automatic	0
FULTON	MS	10950	2005  CHEVROLET  SILVERADO  1500  Z-71  SUPER  CREW	https://northmiss.craigslist.org/ctd/d/2005-chevrolet-silveradosuper/6487092211.html	"
                    2018-02-06  4:24pm
                "	8	"2005  CHEVROLET  SILVERADO  SUPER  CREW Z-71  4 X 4    LS  /FULLY  LOADED/ALL POWER CLOTH  INTERIOR/ALLOY  WHEELS/BED  LINER.  GREAT  RUNNING  TRUCK  PRICED  TO  SELL $ 10,950.00   CASH  OR  POSSIBLE  FINANCING  CALL 662-255-6692    "	2005	 chevrolet 1500 silverado	 excellent	 8 cylinders	 4wd	 gas	238322	 white	 full-size	 clean	 automatic	0
FULTON	MS	9950	2007  TOYOTA TUNDRA  SR5  CREW  MAX  2WD	https://northmiss.craigslist.org/ctd/d/2007-toyota-tundra-sr5-crew/6487091136.html	"
                    2018-02-06  4:23pm
                "	8	2007  TOYOTA  TUNDRA  SR5  CREW  MAX  2  WD  FULLY  LOADED/ALL POWER/5.7 V/8  ENGINE/AUTOMATIC TRANS/CLOTH  INTERIOR/ALLOY  WHEELS/BED  LINER/GOOD  TIRES/TOW  PKG/ RUNNIG  BOARDS.  THIS  TRUCK  IS  BRAND  NEW  INSIDE  AND  OUT .DONT  MSS IT.  PRICED TO  SELL $  9950.00  CASH  OR  POSSIBLE  FINANCING  .CALL 662-255-6692    	2007	 TOYOTA TUNDRA CREW MAX	 excellent	 8 cylinders	 rwd	 gas	238322	 grey	 full-size	 clean	 automatic	0
FULTON	MS	7950	2003  DODGE  RAM  1500  HEMI    4  X  4	https://northmiss.craigslist.org/ctd/d/2003-dodge-ram-1500-hemi-4-4/6487090240.html	"
                    2018-02-06  4:22pm
                "	3	2003   DODGE  RAM  1500  SWB    HEMI  4  X  4  FULLY  LOADED  /ALL POWER/CLOTH  INTERIOR/ALLOY  WHEELS/V/8  ENGINE/AUTOMATIC TRANS/BED  LINER/TOW PKG.  RUNS  AND DRIVES  GREAT  PRICED TO  SELL $ 7950.00  CASH  OR  POSSIBLE  FINANCING  CALLL 662-255-6692    	2003	 DODGE RAM 1500	 excellent	 8 cylinders	 4wd	 gas	140625	 black	 full-size	 clean	 automatic	0
Oxford	 MS	9800	"2004 Chevrolet Silverado Z71 LT (Single Owner) For Sale / 159,000 Mi."	https://northmiss.craigslist.org/cto/d/2004-chevrolet-silverado-z71/6487075438.html	"
                    2018-02-06  4:11pm
                "	10	"Pros:
-Single and original owner.  Truck has been really well maintained and cared for.
-Very low mileage for a 14 year old vehicle (159,000 miles)
-The truck is in perfect condition mechanically
-Spark plugs changed out around 5,000 miles ago
-Water Pump & Thermostat replaced around 20,000 miles ago
-Front wheel bearings replaced around 20,000 miles ago
-Front brake pads replaced 2,000 miles ago
-Rear brake pads and calipers replaced 0 miles ago (lifetime warranty with Autozone is you reference  show contact info
)
-Seats (cloth) have never been sat directly on.  They have always been covered since new with camo covers to help protect the seats
-Husky floor liners will be sold with truck - value of $300 +/-
-United Welding Toolbox will be sold with truck.  They no longer make the deep box with the rail on top like this one, which was the best one ever made.
-Instrument Cluster / Stepper Motors in Instrument Cluster have all been replaced.  This was a flaw with the 2003-2006 Silverados and Tahoes.  These were fixed 300 miles ago and will now last forever.
-Towing package included with truck
-Spare tire included and has never been removed
-4WD along with low range work perfectly
-(2) original keys and (1) original keyless entry.  I bought a second keyless entry so that the truck would have (2) just like it had from factory.  Second keyless entry is only 1 month old.
-Truck Bed is coated with a Pro-Coat lining and this was done the day after buying the truck.  

Cons:
-I was hit on North Lamar back in 2008 or 2009 that did damage to the passenger doors (front and back).  The repairs were done with Southland Body Shop in Oxford.  Some of the clear coat is now peeling off
-I hit a deer back around 2010 or 2011.  It damaged the front bumper but there was not body damage.  Repairs were made by Butch Davis Chevrolet in Ripley, MS.
-The door handle on the driver's side rear door is broken, but can be opened using the inside door handle.  Can be fixed inexpensively, I just never got around to it, and opening from inside door handle is not an inconvenience.
-Driver's side door will not lock / unlock using actual key/ key hole.  You have to lock/ unlock using keyless entry.
-Windshield has some dings, however, they have all been repaired so they do not spread
-Overall, there are some cosmetic items but the mechanics of the truck are perfect
"	2004	 chevrolet 1500 silverado	 good	 8 cylinders	 4wd	 gas	159000	 green	 full-size	 clean	 automatic	 1GCEK19T84Z164956
FULTON	MS	7950	2011  FORD  ESCAPE  XLT  AWD/FLEX FUEL	https://northmiss.craigslist.org/ctd/d/2011-ford-escape-xlt-awd-flex/6487079566.html	"
                    2018-02-06  4:14pm
                "	7	"2011  FORD  ESCAPE  AWD  FLEX  FUEL  XLT  FULLY LOADED /ALL OWER/CLOTH  INTERIOR/ALLOY  WHEELS/ONLY 138,247  MILES.  RUNS  AND  DRIVES  GREAT  PRICED  TO  SELL $ 7950.00  CASH  OR  POSSIBLE  FINANCING  CALL 662-255-6692    "	2011	 FORD ESCAPE XLT	 excellent	 6 cylinders	 4wd	 gas	138247	 white	 full-size	 clean	 automatic	 1GCEK19T84Z164956
		3400	03 Ascender	https://northmiss.craigslist.org/cto/d/03-ascender/6458800245.html	"
                    2018-01-13  5:27pm
                "	8	"2003 Isuzu Ascender 143k 
Runs and drives great, 3 Row seats 
Fully loaded, power seat windows locks, leather seats, TV-DVD, Cruise control, rear heat & air, towing package, fog lights, up good shape inside and out, no body damage, no rust.  Clean title ready to go. 

No payments, No PayPal, or email, scam, spam 
Call me or text  show contact info

If no answer please leave a voicemail, my phone doesn't ring sometimes.    "	2003	 Isuzu	 excellent	 6 cylinders	 4wd	 gas	138247	 white	 full-size	 clean	 automatic	 1GCEK19T84Z164956
N>>> Mississippi..		3451	") 2014 Toyota Camry Se Special Edition 51k Miles, Red Loaded ))"	https://northmiss.craigslist.org/cto/d/2014-toyota-camry-se-special/6487044218.html	"
                    2018-02-06  3:47pm
                "		") 2014 Toyota Camry Se Special Edition 51k Miles, Red Loaded 




.

!@#$%^&*()_)(*&^%$#@!    "	2014	 toyota camry se	 excellent	 6 cylinders	 4wd	 gas	138247	 white	 full-size	 clean	 manual	 1GCEK19T84Z164956
demopolis		13700	1997 f250 7.3 4x2 96000 miles s-cab long bed	https://northmiss.craigslist.org/cto/d/1997-fxmiles-cab-long-bed/6487055476.html	"
                    2018-02-06  3:56pm
                "		"1997 F250 HD super cab long bed with 7.3 turbo engine - automatic trans
 2 wheel drive
 Call if interested- emails will not be answered
 96000 miles
 2 owner truck
 Fifth wheel hitch
 Firestone TransForce tires 8500 miles
 Cash only 
 Clear title
 Call if interested and have cash- don't waste my time with emails- they wont be answered 
show contact info

 call only    "	1997	 ford f250 diesel power stroke	 excellent	 6 cylinders	 4wd	 diesel	138247	 white	 full-size	 clean	 automatic	 1GCEK19T84Z164956
Greenwood ms		5600	2007 Honda Ridgeline	https://northmiss.craigslist.org/cto/d/2007-honda-ridgeline/6487049761.html	"
                    2018-02-06  3:51pm
                "	5	"212000 miles ,cloth interior,trunk under bed for storage,electric tinted windows,gets around 24 mpg,any more info call or text  show contact info
"	2007	 honda ridgeline	 excellent	 6 cylinders	 4wd	 gas	212000	 white	 full-size	 lien	 automatic	 1GCEK19T84Z164956
southaven ms		3250	2002 ford explorer xlt	https://northmiss.craigslist.org/cto/d/2002-ford-explorer-xlt/6453012713.html	"
                    2018-01-08 11:32pm
                "	4	"Completely loaded for the year,cruise,tilt,gas-brake pedal button,new iac valve,maf sensor,throttle position sensor,plugs,brakes,front wheel hub bearings,a frame assembly both sides,sway bar links front and back,(have new inner and outer tie rod ends but they weren't bad),transmission rebuilt in August 2017,still under warranty til Aug 2018 (new pump and torque converter as well, $1,800 I spent on that,I have paperwork) $3,000 firm    "	2002	 ford explorer	 excellent	 6 cylinders	 rwd	 gas	192000	 grey	 mid-size	 clean	 automatic	 1GCEK19T84Z164956
HOUSTON	 MS	12500	"REDUCED 2016 NISSAN ALTIMA S, 4CY, WARRANTY, BLUE TOOTH, BACK UP CAM,"	https://northmiss.craigslist.org/ctd/d/reduced-2016-nissan-altima/6487047212.html	"
                    2018-02-06  3:49pm
                "	12	"Mileage: 46,768 miles
Exterior: Glacier White
Interior: Charcoal Cloth
Transmission: Automatic
Engine: Engine: 2.5L DOHC 16-Valve 4-Cylinder
VIN: 1N4AL3APXGC251552
Stock #: 28u1552

Griffin Motors
662-456-4281    "	2016	 nissan altima	 excellent	 4 cylinders	 fwd	 gas	46768	 grey	 mid-size	 clean	 automatic	 1GCEK19T84Z164956
		3200	2006 Pontiac Gran Prix	https://northmiss.craigslist.org/cto/d/2006-pontiac-gran-prix/6476891850.html	"
                    2018-01-29  8:58am
                "	4	"2006 Pontiac Gran Prix 142,xxx miles , Good interior , Non-Smoker,One-owner. Has the very dependable 3800 series 2 engine. Car come equipped with Digital diagnostic on system on board. No leaks , No mechanical issues . No steering issues. Brand new tires. Price is negotiable .Call or text 901-270-39zero........
(TERRY)    "	2006	 Pontiac Grand Prix	 good	 6 cylinders	 fwd	 gas	142000	 custom	 full-size	 clean	 automatic	 1GCEK19T84Z164956
Madison	 ms	25000	2015 Toyota 4Runner SR5	https://northmiss.craigslist.org/cto/d/2015-toyota-4runner-sr5/6453131784.html	"
                    2018-01-09  6:41am
                "	9	"2015 Toyota 4Runner SR5
90k miles
Brand new tires 
V6 engine
Back up camera
Tinted windows 
Automatic transmission
Navigation option (needs sd map card)
Touch screen factory radio 
Bluetooth 
Power windows and locks. 
Cloth interior 
Weather tech floor mats throughout 
Flip up/hide away 3rd row seats. 

Great condition. Lady driven 
Just selling to get a tahoe 

Call or text 601-559-one7five8 Read Less    "	2015	 Toyota 4runner	 good	 6 cylinders	 fwd	 gas	142000	 custom	 full-size	 clean	 automatic	 1GCEK19T84Z164956
		1800	1996 dodge Dakota	https://northmiss.craigslist.org/cto/d/1996-dodge-dakota/6487018367.html	"
                    2018-02-06  3:28pm
                "		1996 5.2 engine runs looks good chevy min van motor and trans good and a 1994 dodge truck 5.2 mag. Green    	1996	 dodge dakota	 good	 8 cylinders	 rwd	 gas	142000	 custom	 full-size	 clean	 automatic	 1GCEK19T84Z164956
		2000	2012 Toyota Prius Four Hatchback 4D	https://northmiss.craigslist.org/cto/d/2012-toyota-prius-four/6476294816.html	"
                    2018-01-28  4:13pm
                "		"Front Wheel Drive, AM/FM Stereo, CD Player,
MP3 Sound System, Wheels-Aluminum, Wheels-Wheel Covers,
Remote Keyless Entry, Trip Computer, Tilt Wheel,
Traction Control, Brakes-ABS-4 Wheel, 4 Wheel Disc Brakes,
Steering Wheel Stereo Controls, Intermittent Wipers, Headlights-Auto-Off,
Child Safety Locks, Bucket Seats, Seat-Rear Pass-Through,
Mirrors-Pwr Driver, Mirrors-Vanity-Driver, Mirrors-Vanity-Passenger,
Air Bag - Driver, Air Bag - Passenger, Air Bags - Head,
Air Bag - Side, Air Bag-Side-Head only-Rear, Rear Defrost,
Air Conditioning, Climate Control - Auto, Spoiler,
Reading Lamps-Front, Power Steering, Power Windows,
Power Door Locks, Additional Power Outlet(s),

Telephone-Hands-Free Wireless Connection, Wipers-Variable Speed Intermittent,
Mirrors-Vanity-Driver Illuminated, Mirrors-Vanity-Passenger Illuminated,    "	2012	 toyota - prius	 fair	 8 cylinders	 rwd	 hybrid	142000	 custom	 full-size	 clean	 automatic	 1GCEK19T84Z164956
Hickory Flat		4000	Toyota Camry LE	https://northmiss.craigslist.org/ctd/d/toyota-camry-le/6487008807.html	"
                    2018-02-06  3:21pm
                "		"2004 
Camry LE
163k
Aluminum wheels 
4 cylinder 
$4000
662-333-7013    "	2004	 toyota camry le	 fair	 8 cylinders	 rwd	 gas	142000	 custom	 full-size	 clean	 automatic	 1GCEK19T84Z164956
Tupelo		5450	2006 Nissan Altima SE - 4 Door; Fully Loaded; Extra Clean!	https://northmiss.craigslist.org/cto/d/2006-nissan-altima-se-4-door/6452653923.html	"
                    2018-01-08  4:28pm
                "	17	"2006 Nissan Altima - 4 Door; Fully Loaded; Extra Clean!
138,726 Highway Miles; Lightly Driven; Garage Kept!
Runs and Drives Great!

2.5L 4 Cylinder Gas Saver Engine with Power! - Serviced Regularly; Automatic Transmission!
Excellent on Gas; 33 MPG Highway
Near New Tires; Recent Maintenance/Tune Up; New Spark Plugs
Cloth Interior; Power Seats; Power Windows/Power Locks/Power Mirrors
Premium Sound CD Changer AM/FM; Cruise Control; Climate Control; Heat and COLD Air
No Check Engine Light or Other Warning Indicators
Spacious Cargo Area with Deluxe Organizer
Just Detailed
Priced to Sell
Clean Title

Call (662) 4.0.1-6.9.3.7    "	2006	 nissan altima	 fair	 8 cylinders	 rwd	 gas	142000	 custom	 full-size	 clean	 automatic	 1GCEK19T84Z164956
Tupelo		4450	2007 Chrysler PT Cruiser Touring Edition; Great Condition! Low Miles!	https://northmiss.craigslist.org/cto/d/2007-chrysler-pt-cruiser/6466933243.html	"
                    2018-01-20  4:08pm
                "	15	"2007 Chrysler PT Cruiser Touring Edition; Great Condition! Low Miles!
132,845 Miles; Lightly Driven; Garage Kept!
Runs and Drives Great!

2.4L 4 Cylinder Gas Saver Engine with Power! - Serviced Regularly; Automatic Transmission!
Near New Tires; Recent Maintenance/Tune Up;
Cloth Interior; Power Windows/Power Locks/Power Mirrors!
Premium Sound CD Changer AM/FM; Cruise Control; Climate Control; Heat and COLD Air
No Check Engine Light or Other Warning Indicators
Spacious Cargo Area with Deluxe Organizer and Rear Folding Seats!
Just Detailed
Priced to Sell
Clean Title

Call  show contact info
"	2007	 chrysler pt cruiser	 fair	 8 cylinders	 rwd	 gas	142000	 custom	 full-size	 clean	 automatic	 1GCEK19T84Z164956
HOUSTON	 ms	7500	"REDUCED 2015 FIAT 500, 4CY/AUTO, PW, PL, CD, WARRANTY,"	https://northmiss.craigslist.org/ctd/d/reduced-2015-fiat-500-4cy/6486991991.html	"
                    2018-02-06  3:09pm
                "	7	"Mileage: 45,800 miles
Exterior: Billet Argento (Silver)
Interior: Nero (Black) Cloth
Transmission: Automatic
VIN: 3C3CFFAR7FT678143
Stock #: 71U8143

Griffin Motors
662-456-4281    "	2015	 fiat 500	 fair	 8 cylinders	 rwd	 gas	45800	 custom	 full-size	 clean	 automatic	 1GCEK19T84Z164956
South haven Ms		3000	Nissan Altima 3.5	https://northmiss.craigslist.org/cto/d/nissan-altima-35/6486983730.html	"
                    2018-02-06  3:03pm
                "	8	"Feel free to call me anytime. Just need hub bearing strong motor and transmission. Seeking as is. Heat and a/c,leather seats,sunroof,and also seat warmers. This is a v6 not 4 cylinder.    "	2005	 Nissan Altima 3.5sl	 good	 6 cylinders	 fwd	 gas	173000	 black	 mid-size	 clean	 automatic	 1GCEK19T84Z164956
HOUSTON	 MS	25500	"2017 RAM 1500 QUAD CAB 4X4 SLT, HEMI/AUTO, WHEELS, LIKE NEW, WARRANTY"	https://northmiss.craigslist.org/ctd/d/2017-ram-1500-quad-cab-4x4/6486983433.html	"
                    2018-02-06  3:03pm
                "	14	"Mileage: 19,267 miles
Exterior: Bright White Clearcoat
Interior: Diesel Gray/Black Cloth
Transmission: Automatic
Engine: ENGINE: 5.7L V8 HEMI MDS VVT
VIN: 1C6RR7GT4HS537581
Stock #: 35u7581

Griffin Motors
662-456-4281    "	2017	 dodge ram 1500 slt	 good	 8 cylinders	 4wd	 gas	19267	 black	 mid-size	 clean	 automatic	 1GCEK19T84Z164956
Tupelo		16950	2014 Ford F 150	https://northmiss.craigslist.org/cto/d/2014-ford-150/6486970586.html	"
                    2018-02-06  2:53pm
                "		"2014 Ford F 150
Excellent Condition
"	2014	 Ford F-150	 excellent	 8 cylinders	 4wd	 gas	19267	 white	 full-size	 clean	 automatic	 1GCEK19T84Z164956
HOUSTON	 MS	16900	"2014 JEEP GRAND CHEROKEE LAREDO, 4X4, CLEAN, BLUE TOOTH, WARRANTY"	https://northmiss.craigslist.org/ctd/d/2014-jeep-grand-cherokee/6486965636.html	"
                    2018-02-06  2:50pm
                "	14	"Mileage: 79,555 miles
Exterior: Cashmere Pearlcoat
Interior: Black/Lt Frost Beige Cloth
Transmission: Automatic
Engine: ENGINE: 3.6L V6 24V VVT FLEX FUEL
VIN: 1C4RJFAG1EC510303
Stock #: 38u0303

Griffin Motors
662-456-4281    "	2014	 jeep grand cherokee laredo	 excellent	 8 cylinders	 4wd	 gas	79555	 white	 full-size	 clean	 automatic	 1GCEK19T84Z164956
